symbol,price,float_shares
MMM,163.17,575.35M
ABT,102.84,1.76B
ABBV,90.22,1.76B
ABMD,268.19,44.04M
ACN,232.65,635.19M
ATVI,76.18,763.22M
ADBE,462.13,477.4M
AMD,78.69,1.17B
AAP,151.73,64.61M
AES,17.41,662.4M
AFL,36.94,660.38M
A,95.14,307.21M
APD,294.52,220.16M
AKAM,104.11,159.07M
ALK,41.6,123.06M
ALB,93.14,105.9M
ARE,161.99,124.58M
ALXN,108.19,218.56M
ALGN,309.22,71.41M
ALLE,98.0,91.82M
LNT,52.65,249.21M
ALL,91.25,310.64M
GOOGL,1523.6,610.54M
GOOG,1532.39,610.54M
MO,43.07,1.86B
AMZN,3149.84,425.27M
AMCR,10.77,1.55B
AEE,77.4,245.68M
AAL,13.63,502.33M
AEP,78.98,495.64M
AXP,103.67,651.5M
AIG,28.89,860.37M
AMT,246.81,441.9M
AWK,140.77,180.72M
AMP,149.51,119.81M
ABC,95.36,146.87M
AME,96.99,228.59M
AMGN,241.18,584.38M
APH,105.06,296.73M
ADI,112.93,367.77M
ANSS,308.61,85.04M
ANTM,267.21,251.13M
AON,198.0,229.16M
AOS,47.26,132.44M
APA,13.04,376.07M
AIV,36.8,147.45M
AAPL,112.82,17.09B
AMAT,55.63,909.23M
APTV,84.66,268.22M
ADM,45.22,553.61M
ANET,207.19,54.81M
AJG,101.08,189.6M
AIZ,120.31,58.99M
T,29.51,7.12B
ATO,96.12,121.95M
ADSK,224.36,218.94M
ADP,135.89,429.08M
AZO,1211.49,23.27M
AVB,158.46,139.95M
AVY,114.06,82.91M
BKR,13.99,626.57M
BLL,80.55,323.89M
BAC,25.48,8.64B
BK,36.04,884.4M
BAX,81.29,505.24M
BDX,234.06,289.16M
BBY,105.26,230.79M
BIO,478.82,21.21M
BIIB,268.9,314.64M
BLK,552.54,150.54M
BA,161.08,532.96M
BKNG,1891.6,40.81M
BWA,41.61,205.54M
BXP,86.58,155.26M
BSX,40.92,1.43B
BMY,58.53,2.25B
AVGO,350.54,390.02M
BR,132.34,114.44M
CHRW,95.72,134.1M
COG,17.88,390.56M
CDNS,100.44,274.63M
CPB,45.22,201.33M
COF,70.36,452.22M
CAH,49.27,291.83M
KMX,104.62,162.28M
CCL,18.29,594.67M
CARR,29.57,865.73M
CAT,148.52,540.36M
CBOE,89.92,107.8M
CBRE,47.63,324.43M
CDW,111.72,141.16M
CE,104.16,117.24M
CNC,57.16,568.82M
CNP,19.37,543.24M
CTL,10.65,991.49M
CERN,70.04,294.4M
CF,32.02,212.59M
SCHW,34.66,1.15B
CHTR,596.5,147.71M
CVX,78.97,1.87B
CMG,1299.75,25.97M
CB,121.11,448.36M
CHD,91.9,246.68M
CI,173.98,365.93M
CINF,79.15,146.98M
CTAS,318.78,87.25M
CSCO,40.0,4.23B
C,51.04,2.08B
CFG,26.62,424.6M
CTXS,138.65,122.72M
CLX,213.0,125.79M
CME,167.0,353.95M
CMS,60.5,284.77M
KO,49.81,3.86B
CTSH,65.6,540.35M
CL,75.64,797.88M
CMCSA,43.81,4.53B
CMA,39.94,137.64M
CAG,35.15,485.07M
CXO,47.63,193.13M
COP,34.06,1.07B
ED,72.8,333.97M
STZ,187.76,163.32M
COO,318.2,48.68M
